id,name,batch,type,address,publish,age,location
1-39,炳灵寺石窟,第一批,石窟寺,甘肃省临夏回族自治州临夏市,文物保护单位,北魏至明,"103.243021,35.604376"
1-40,响堂山石窟,第一批,石窟寺,河北省邯郸市,文物保护单位,东魏、北齐至元,"114.196561,36.426961"
1-41,克孜尔千佛洞,第一批,石窟寺,新疆维吾尔自治区拜城县,文物保护单位,唐至宋,"82.502815,41.781360"
1-42,库木吐喇千佛洞,第一批,石窟寺,新疆维吾尔自治区库车县,文物保护单位,唐至宋,"82.962016,41.717906"
1-43,皇泽寺摩崖造象,第一批,石窟寺,四川省广元县,文物保护单位,唐,"105.810502,32.443606"
1-44,广元千佛崖摩崖造象,第一批,石窟寺,四川省广元县,文物保护单位,唐、宋,"105.846600,32.470770"
1-45,北山摩崖造象,第一批,石窟寺,四川省大足县,文物保护单位,唐、宋,"103.538810,29.765844"
1-46,宝顶山摩崖造象,第一批,石窟寺,四川省大足县,文物保护单位,宋,"103.538810,29.765844"
1-47,石钟山石窟,第一批,石窟寺,云南省大理白族自治州剑川县,文物保护单位,南诏、大理（公元649－1094年）,"99.840970,26.355300"
1-48,太室阙,第一批,古建筑及历史纪念建筑物,河南省登封县,文物保护单位,东汉,"113.074201,34.450652"
1-49,少室阙,第一批,古建筑及历史纪念建筑物,河南省登封县,文物保护单位,东汉,"112.983253,34.491790"
1-50,启母阙,第一批,古建筑及历史纪念建筑物,河南省登封县,文物保护单位,东汉,"113.047862,34.473055"
1-51,冯焕阙,第一批,古建筑及历史纪念建筑物,四川省渠县,文物保护单位,东汉,"106.972996,30.836659"
1-52,平阳府君阙,第一批,古建筑及历史纪念建筑物,四川绵阳县,文物保护单位,东汉,"104.679114,31.467450"
1-53,沈府君阙,第一批,古建筑及历史纪念建筑物,四川省渠县,文物保护单位,东汉,"107.006783,31.053104"
1-54,孝堂山郭氏墓石祠,第一批,古建筑及历史纪念建筑物,山东省肥城县,文物保护单位,东汉,"116.605544,36.398455"
1-55,嘉祥武氏墓群石刻,第一批,古建筑及历史纪念建筑物,山东省济宁市,文物保护单位,东汉,"116.347593,35.283078"
1-56,高颐墓阙及石刻,第一批,古建筑及历史纪念建筑物,四川省雅安县,文物保护单位,东汉,"104.145171,30.035520"
1-57,褒斜道石门及其摩崖石刻,第一批,古建筑及历史纪念建筑物,陕西省汉中市,文物保护单位,汉至宋,"106.857370,33.301139"
1-58,安济桥（大石桥）,第一批,古建筑及历史纪念建筑物,河北省宁晋县,文物保护单位,隋,"114.919301,37.619886"
1-59,安平桥（五里桥）,第一批,古建筑及历史纪念建筑物,福建省晋江县,文物保护单位,南宋,"118.448097,24.707311"
1-60,永通桥（小石桥）,第一批,古建筑及历史纪念建筑物,河北省宁晋县,文物保护单位,金,"114.919301,37.619886"
1-61,嵩岳寺塔,第一批,古建筑及历史纪念建筑物,河南省登封县,文物保护单位,北魏,"113.022266,34.500246"
1-62,四门塔,第一批,古建筑及历史纪念建筑物,山东省历城县,文物保护单位,东魏,"117.134916,36.452480"
1-63,大雁塔,第一批,古建筑及历史纪念建筑物,陕西省西安市,文物保护单位,唐,"108.964176,34.218229"
1-64,小雁塔,第一批,古建筑及历史纪念建筑物,陕西省西安市,文物保护单位,唐,"108.941610,34.239055"
1-65,崇圣寺三塔,第一批,古建筑及历史纪念建筑物,云南省大理白族自治州大理市,文物保护单位,唐、五代,"100.143495,25.704321"
1-66,房山云居寺塔及石经,第一批,古建筑及历史纪念建筑物,北京市房山县,文物保护单位,隋、唐、辽、金,"115.773394,39.610081"
1-67,兴教寺塔,第一批,古建筑及历史纪念建筑物,陕西省长安县,文物保护单位,唐,"109.038933,34.089928"
1-68,苏州云岩寺塔,第一批,古建筑及历史纪念建筑物,江苏省苏州市,文物保护单位,五代,"120.585315,31.298886"
1-69,祐国寺塔（铁塔）,第一批,古建筑及历史纪念建筑物,河南省开封市,文物保护单位,北宋,"114.307581,34.797239"
1-70,定县开元寺塔（料敌塔）,第一批,古建筑及历史纪念建筑物,河北省定县,文物保护单位,北宋,"115.001955,38.509209"
1-71,佛宫寺释迦塔（应县木塔）,第一批,古建筑及历史纪念建筑物,山西省应县,文物保护单位,辽,"113.190720,39.567770"
1-72,六和塔,第一批,古建筑及历史纪念建筑物,浙江省杭州市,文物保护单位,南宋,"120.125500,30.191543"
1-73,广惠寺华塔,第一批,古建筑及历史纪念建筑物,河北省正定县,文物保护单位,金,"114.571514,38.132280"
1-74,妙应寺白塔,第一批,古建筑及历史纪念建筑物,北京市西城区,文物保护单位,元,"116.363362,39.924873"
1-75,真觉寺金刚宝座（五塔寺塔）,第一批,古建筑及历史纪念建筑物,北京市海淀区,文物保护单位,明,"116.330417,39.944042"
1-76,海宝塔,第一批,古建筑及历史纪念建筑物,宁夏回族自治区银川市,文物保护单位,清,"106.230909,38.487193"
1-77,义慈惠石柱,第一批,古建筑及历史纪念建筑物,河北省易县,文物保护单位,北齐,"115.497509,39.349398"
1-78,赵州陀罗尼经幢,第一批,古建筑及历史纪念建筑物,河北省宁晋县,文物保护单位,北宋,"114.919301,37.619886"
1-79,南禅寺大殿,第一批,古建筑及历史纪念建筑物,山西省五台县,文物保护单位,唐,"113.120631,38.701788"
1-80,佛光寺,第一批,古建筑及历史纪念建筑物,山西省五台县,文物保护单位,唐至清,"113.393789,38.869881"
1-81,大昭寺,第一批,古建筑及历史纪念建筑物,西藏自治区拉萨市,文物保护单位,,"91.132743,29.649939"
1-82,昌珠寺,第一批,古建筑及历史纪念建筑物,西藏自治区乃东县,文物保护单位,,"91.773235,29.190684"
1-83,光孝寺,第一批,古建筑及历史纪念建筑物,广东省广州市,文物保护单位,五代至明,"113.256495,23.129022"
1-84,独乐寺,第一批,古建筑及历史纪念建筑物,河北省蓟县,文物保护单位,辽,"117.543011,39.830925"
1-85,晋祠,第一批,古建筑及历史纪念建筑物,山西省太原市,文物保护单位,宋,"112.440622,37.707563"
1-86,奉国寺,第一批,古建筑及历史纪念建筑物,辽宁省义县,文物保护单位,辽,"121.247945,41.544712"
1-87,清净寺,第一批,古建筑及历史纪念建筑物,福建省泉州市,文物保护单位,宋,"118.780252,24.759759"
1-88,善化寺,第一批,古建筑及历史纪念建筑物,山西省大同市,文物保护单位,辽、金,"113.300307,40.086580"
1-89,隆兴寺,第一批,古建筑及历史纪念建筑物,河北省正定县,文物保护单位,宋,"114.582550,38.144315"
1-90,保国寺,第一批,古建筑及历史纪念建筑物,浙江省宁波市,文物保护单位,北宋,"121.504115,29.926000"
1-91,华严寺,第一批,古建筑及历史纪念建筑物,山西省大同市,文物保护单位,辽、金、清,"113.295060,40.092531"
1-92,白马寺,第一批,古建筑及历史纪念建筑物,河南省洛阳市,文物保护单位,金至清,"112.605311,34.721828"
1-93,永乐宫,第一批,古建筑及历史纪念建筑物,山西省芮城县,文物保护单位,元,"110.693119,34.720687"
1-94,武当山金殿,第一批,古建筑及历史纪念建筑物,湖北省光化县,文物保护单位,元、明,"113.120579,31.017319"
1-95,萨迦寺,第一批,古建筑及历史纪念建筑物,西藏自治区萨迦县,文物保护单位,元,"88.022516,28.898776"
1-96,广胜寺,第一批,古建筑及历史纪念建筑物,山西省洪洞县,文物保护单位,元、明,"111.807642,36.297485"
1-97,观星台,第一批,古建筑及历史纪念建筑物,河南省登封县,文物保护单位,元,"113.147132,34.402946"
1-98,居庸关云台,第一批,古建筑及历史纪念建筑物,北京市昌平县,文物保护单位,元,"116.076850,40.285821"
1-99,曲阜孔庙及孔府,第一批,古建筑及历史纪念建筑物,山东省曲阜县,文物保护单位,金至清,"116.990918,35.594887"
1-100,故宫,第一批,古建筑及历史纪念建筑物,北京市,文物保护单位,明、清,"116.407526,39.904030"
1-101,万里长城－八达岭,第一批,古建筑及历史纪念建筑物,北京市延庆县,文物保护单位,明,"116.016802,40.356188"
1-102,万里长城－山海关,第一批,古建筑及历史纪念建筑物,河北省秦皇岛市,文物保护单位,明,"119.597825,39.941759"
1-103,万里长城－嘉峪关,第一批,古建筑及历史纪念建筑物,甘肃省酒泉市,文物保护单位,明,"98.748954,39.807723"
1-104,西安城墙,第一批,古建筑及历史纪念建筑物,陕西省西安市,文物保护单位,明,"108.939935,34.276165"
1-105,天坛,第一批,古建筑及历史纪念建筑物,北京市崇文区,文物保护单位,明,"116.412757,39.890495"
1-106,北海及团城,第一批,古建筑及历史纪念建筑物,北京市西城区,文物保护单位,明、清,"116.389537,39.922632"
1-107,布达拉宫,第一批,古建筑及历史纪念建筑物,西藏自治区拉萨市,文物保护单位,明至民国,"91.118473,29.654494"
1-108,噶丹寺,第一批,古建筑及历史纪念建筑物,西藏自治区拉萨市,文物保护单位,明初至清,"91.151031,29.653472"
1-109,扎什伦布寺,第一批,古建筑及历史纪念建筑物,西藏自治区日喀则县,文物保护单位,明初至清,"88.871941,29.265392"
1-110,智化寺,第一批,古建筑及历史纪念建筑物,北京市东城区,文物保护单位,明,"116.432342,39.917170"
1-111,塔尔寺,第一批,古建筑及历史纪念建筑物,青海省湟中县,文物保护单位,明,"101.567730,36.487506"
1-112,沈阳故宫,第一批,古建筑及历史纪念建筑物,辽宁省沈阳市,文物保护单位,清,"123.454343,41.797344"
1-113,国子监,第一批,古建筑及历史纪念建筑物,北京市东城区,文物保护单位,清,"116.413269,39.946763"
1-114,雍和宫,第一批,古建筑及历史纪念建筑物,北京市东城区,文物保护单位,清,"116.417314,39.947277"
1-115,普宁寺,第一批,古建筑及历史纪念建筑物,河北省承德市,文物保护单位,清,"117.952730,41.015817"
1-116,普乐寺,第一批,古建筑及历史纪念建筑物,河北省承德市,文物保护单位,清,"117.960576,40.997512"
1-117,普陀宗乘之庙,第一批,古建筑及历史纪念建筑物,河北省承德市,文物保护单位,清,"117.934100,41.013027"
1-118,须弥福寿之庙,第一批,古建筑及历史纪念建筑物,河北省承德市,文物保护单位,清,"117.942174,41.010540"
1-119,武侯祠,第一批,古建筑及历史纪念建筑物,四川省成都市,文物保护单位,清,"104.043390,30.641982"
1-120,杜甫草堂,第一批,古建筑及历史纪念建筑物,四川省成都市,文物保护单位,清,"104.028553,30.660076"
1-121,拙政园,第一批,古建筑及历史纪念建筑物,江苏省苏州市,文物保护单位,明、清,"120.629989,31.323712"
1-122,颐和园,第一批,古建筑及历史纪念建筑物,北京市海淀区,文物保护单位,清,"116.272876,39.992430"
1-123,避暑山庄,第一批,古建筑及历史纪念建筑物,河北省承德市,文物保护单位,清,"117.946394,41.004379"
1-124,留园,第一批,古建筑及历史纪念建筑物,江苏省苏州市,文物保护单位,清,"120.592401,31.315405"
1-125,西安碑林,第一批,石刻及其他,陕西省西安市,文物保护单位,汉至近代,"108.934235,34.230769"
1-126,爨宝子碑,第一批,石刻及其他,云南省曲靖县,文物保护单位,东晋,"103.800918,25.489440"
1-127,爨龙颜碑,第一批,石刻及其他,云南省陆良县,文物保护单位,南朝,"103.688440,24.922130"
1-128,药王山石刻,第一批,石刻及其他,陕西省铜川市,文物保护单位,隋至明,"108.999862,34.909376"
1-129,段氏与三十七部会盟碑,第一批,石刻及其他,云南省曲靖县,文物保护单位,大理（公元937－1094年）,"103.800906,25.489438"
1-130,重修护国寺感应塔碑（西夏碑）,第一批,石刻及其他,甘肃省武威县,文物保护单位,西夏（公元1032－1227年）,"102.638011,37.928264"
1-131,苏州文庙内宋代石刻,第一批,石刻及其他,江苏省苏州市,文物保护单位,南宋,"120.623718,31.294683"
1-132,溪州铜柱,第一批,石刻及其他,湖南省湘西土家族苗族自治州永顺县,文物保护单位,五代,"109.946156,28.742858"
1-133,峨眉山圣寿万年寺铜铁佛像,第一批,石刻及其他,四川省峨眉县,文物保护单位,宋至明,"103.383838,29.578952"
1-134,沧州铁狮子,第一批,石刻及其他,河北省沧县,文物保护单位,后周,"117.017863,38.210819"
1-135,保圣寺罗汉塑像,第一批,石刻及其他,江苏省吴县,文物保护单位,北宋,"118.890108,31.322134"
1-136,周口店遗址,第一批,古遗址,北京市房山县,文物保护单位,旧石器时代,"115.928442,39.688077"
1-137,丁村遗址,第一批,古遗址,山西省临汾县,文物保护单位,旧石器时代,"111.426429,35.837689"
1-138,仰韶村遗址,第一批,古遗址,河南省渑池县,文物保护单位,新石器时代,"111.782721,34.827953"
1-139,半坡遗址,第一批,古遗址,陕西省西安市,文物保护单位,新石器时代,"109.053429,34.272915"
1-140,城子崖遗址,第一批,古遗址,山东省章丘县,文物保护单位,新石器时代,"117.533386,36.714252"
1-141,郑州商代遗址,第一批,古遗址,河南省郑州市,文物保护单位,商,"113.690258,34.751051"
1-142,殷墟,第一批,古遗址,河南省安阳市,文物保护单位,殷,"114.324972,36.119939"
1-143,丰镐遗址,第一批,古遗址,陕西省长安县,文物保护单位,周,"108.717194,34.202641"
1-144,临淄齐国故城,第一批,古遗址,山东省益都县,文物保护单位,周,"118.309398,36.826882"
1-145,曲阜鲁国故城,第一批,古遗址,山东省曲阜县,文物保护单位,周至汉,"117.004563,35.601124"
1-146,侯马晋国遗址,第一批,古遗址,山西省侯马市,文物保护单位,东周,"111.372002,35.619105"
1-147,楚纪南故城,第一批,古遗址,湖北省江陵县,文物保护单位,东周,"112.424664,30.041822"
1-148,郑韩故城,第一批,古遗址,河南省新郑县,文物保护单位,东周,"113.745599,34.406626"
1-149,赵邯郸故城,第一批,古遗址,河北省邯郸市,文物保护单位,战国,"114.658111,36.793141"
1-150,燕下都遗址,第一批,古遗址,河北省易县,文物保护单位,战国,"115.531378,39.306602"
1-151,阿房宫遗址,第一批,古遗址,陕西省西安市,文物保护单位,秦,"108.814846,34.260111"
1-152,汉长安城遗址,第一批,古遗址,陕西省西安市,文物保护单位,西汉,"108.862064,34.302719"
1-153,汉魏洛阳故城,第一批,古遗址,河南省洛阳市,文物保护单位,东汉至北魏,"112.472362,34.646236"
1-154,高昌故城,第一批,古遗址,新疆维吾尔自治区吐鲁番县,文物保护单位,高昌（公元500－640年）,"89.516863,42.838448"
1-155,雅尔湖故城,第一批,古遗址,新疆维吾尔自治区吐鲁番县,文物保护单位,高昌（公元500－640年）,"89.189655,42.951384"
1-156,大明宫遗址,第一批,古遗址,陕西省西安市,文物保护单位,唐,"108.961678,34.304735"
1-157,太和城遗址,第一批,古遗址,云南省大理白族自治州大理市,文物保护单位,南诏（公元649—902年）,"100.194025,25.630562"
1-158,渤海国上京龙泉府遗址,第一批,古遗址,黑龙江省宁安县,文物保护单位,渤海（公元698－926年）,"129.151986,44.132974"
1-159,辽上京遗址,第一批,古遗址,内蒙古自治区巴林左旗,文物保护单位,辽,"119.396868,43.968940"
1-160,辽中京遗址,第一批,古遗址,内蒙古自治区宁城县,文物保护单位,辽,"118.557602,41.415477"
1-161,古格王国遗址,第一批,古遗址,西藏自治区扎达县,文物保护单位,,"79.672245,31.462507"
1-162,黄帝陵,第一批,古墓葬,陕西省黄陵县,文物保护单位,,"109.270433,35.586331"
1-163,孔林,第一批,古墓葬,山东省曲阜县,文物保护单位,东周,"116.994270,35.612525"
1-164,秦始皇陵,第一批,古墓葬,陕西省临潼县,文物保护单位,秦,"109.258928,34.377721"
1-165,茂陵,第一批,古墓葬,陕西省兴平县,文物保护单位,西汉,"108.618583,34.321982"
1-166,霍去病墓,第一批,古墓葬,陕西省兴平县,文物保护单位,西汉,"108.585795,34.339502"
1-167,辽阳壁画墓群,第一批,古墓葬,辽宁省辽阳市,文物保护单位,汉至晋,"123.105695,41.205329"
1-168,洞沟古墓群,第一批,古墓葬,吉林省集安县,文物保护单位,高句丽（公元前37－公元668年）,"126.173796,41.111351"
1-169,封氏墓群,第一批,古墓葬,河北省吴桥县,文物保护单位,北魏至隋,"116.391508,37.627661"
1-170,昭陵,第一批,古墓葬,陕西省礼泉县,文物保护单位,唐,"108.488452,34.632518"
1-171,乾陵,第一批,古墓葬,陕西省乾县,文物保护单位,唐,"108.219684,34.568772"
1-172,顺陵,第一批,古墓葬,陕西省咸阳市,文物保护单位,唐,"108.813484,34.450986"
1-173,六顶山古墓群,第一批,古墓葬,吉林省延边朝鲜族自治州敦化县,文物保护单位,渤海（公元698－926年）,"128.224263,43.318082"
1-174,藏王墓,第一批,古墓葬,西藏自治区穷结县,文物保护单位,,"91.680005,29.014820"
1-175,王建墓,第一批,古墓葬,四川省成都市,文物保护单位,五代前蜀,"104.047202,30.673364"
1-176,岳飞墓,第一批,古墓葬,浙江省杭州市,文物保护单位,南宋,"120.155070,30.274084"
1-177,明孝陵,第一批,古墓葬,江苏省南京市,文物保护单位,明,"118.839731,32.058355"
1-178,十三陵,第一批,古墓葬,北京市昌平县,文物保护单位,明,"116.248876,40.300225"
1-179,清东陵,第一批,古墓葬,河北省遵化县,文物保护单位,清,"117.682700,40.173542"
1-180,清西陵,第一批,古墓葬,河北省易县,文物保护单位,清,"115.362775,39.372423"
2-1,林则徐销烟池与虎门炮台旧址,第二批,革命遗址及革命纪念建筑物,广东省东莞县,文物保护单位,1839年,"113.660632,22.824120"
2-2,太平天国天王府遗址,第二批,革命遗址及革命纪念建筑物,江苏省南京市,文物保护单位,1853至1864年,"118.797800,32.043979"
2-3,义和团吕祖堂坛口遗址,第二批,革命遗址及革命纪念建筑物,天津市,文物保护单位,1900年,"117.157986,39.146109"
2-4,安源路矿工人俱乐部旧址,第二批,革命遗址及革命纪念建筑物,江西省安源市,文物保护单位,1922年,"113.895378,27.603733"
2-5,八七会议会址,第二批,革命遗址及革命纪念建筑物,湖北省武汉市,文物保护单位,1927年,"114.299740,30.586398"
2-6,西安事变旧址,第二批,革命遗址及革命纪念建筑物,陕西省西安市,文物保护单位,1936年,"109.301859,34.502252"
2-7,白求恩模范病室旧址,第二批,革命遗址及革命纪念建筑物,山西省五台县,文物保护单位,1938年,"113.582450,38.745132"
2-8,西柏坡中共中央旧址,第二批,革命遗址及革命纪念建筑物,河北省平山县,文物保护单位,948年,"113.940992,38.339992"
2-9,北京宋庆龄故居,第二批,革命遗址及革命纪念建筑物,北京市北河沿,文物保护单位,1963年,"116.383010,39.945520"
2-10,宋庆龄墓,第二批,革命遗址及革命纪念建筑物,上海市万国公墓,文物保护单位,1981年,"121.410733,31.195146"
2-11,巩县石窟,第二批,石窟寺,河南省巩县,文物保护单位,北魏至宋,"113.029758,34.811572"
2-12,须弥山石窟,第二批,石窟寺,宁夏回族自治区固原县,文物保护单位,北朝至唐,"105.989386,36.280315"
2-13,乐山大佛,第二批,石窟寺,四川省乐山市,文物保护单位,唐,"103.771968,29.544055"
2-14,柏孜克里克千佛洞,第二批,石窟寺,新疆维吾尔自治区吐鲁番县,文物保护单位,唐至元,"89.542139,42.957308"
2-15,飞来峰造象,第二批,石窟寺,浙江省杭州市,文物保护单位,五代至元,"120.105055,30.240778"
2-16,修定寺塔,第二批,古建筑及历史纪念建筑物,河南省安阳县,文物保护单位,唐,"114.003375,36.195266"
2-17,玉泉寺及铁塔,第二批,古建筑及历史纪念建筑物,湖北省当阳县,文物保护单位,宋,"113.775314,30.901535"
2-18,万部华严经塔,第二批,古建筑及历史纪念建筑物,内蒙古自治区呼和浩特市,文物保护单位,辽,"111.886620,40.838230"
2-19,华林寺大殿,第二批,古建筑及历史纪念建筑物,福建省福州市,文物保护单位,宋,"119.296861,26.100265"
2-20,开元寺,第二批,古建筑及历史纪念建筑物,福建省泉州市,文物保护单位,宋至清,"118.285467,25.319696"
2-21,灵岩寺,第二批,古建筑及历史纪念建筑物,山东省长清县,文物保护单位,唐至清,"116.986176,36.365470"
2-22,玄妙观三清殿,第二批,古建筑及历史纪念建筑物,江苏省苏州市,文物保护单位,宋,"120.626166,31.312403"
2-23,岩山寺,第二批,古建筑及历史纪念建筑物,山西省繁峙县,文物保护单位,金,"113.659999,39.230212"
2-24,北岳庙,第二批,古建筑及历史纪念建筑物,河北省曲阳县,文物保护单位,元,"114.697069,38.621213"
2-25,紫霄宫,第二批,古建筑及历史纪念建筑物,湖北省均县,文物保护单位,明,"113.095027,31.033860"
2-26,显通寺,第二批,古建筑及历史纪念建筑物,山西省五台县,文物保护单位,明至清,"113.596430,39.009434"
2-27,哲蚌寺,第二批,古建筑及历史纪念建筑物,西藏自治区拉萨市,文物保护单位,明,"91.049889,29.673206"
2-28,色拉寺,第二批,古建筑及历史纪念建筑物,西藏直治区拉萨市,文物保护单位,明,"91.133972,29.693824"
2-29,皇史宬,第二批,古建筑及历史纪念建筑物,北京市,文物保护单位,明,"116.403891,39.909779"
2-30,悬空寺,第二批,古建筑及历史纪念建筑物,山西省浑源县,文物保护单位,明,"113.715781,39.661139"
2-31,天一阁,第二批,古建筑及历史纪念建筑物,浙江省宁波市,文物保护单位,明至清,"121.539532,29.871095"
2-32,古观象台,第二批,古建筑及历史纪念建筑物,北京市,文物保护单位,明至清,"116.434411,39.907096"
2-33,经略台真武阁,第二批,古建筑及历史纪念建筑物,广西壮族自治区容县,文物保护单位,明,"110.557874,22.857823"
2-34,瞿昙寺,第二批,古建筑及历史纪念建筑物,青海省乐都县,文物保护单位,明,"102.298232,36.354262"
2-35,北京城东南角楼,第二批,古建筑及历史纪念建筑物,北京市,文物保护单位,明,"116.462690,39.878270"
2-36,都江堰,第二批,古建筑及历史纪念建筑物,四川省灌县,文物保护单位,秦至清,"103.647193,30.988763"
2-37,蓬莱水城及蓬莱阁,第二批,古建筑及历史纪念建筑物,山东省蓬莱县,文物保护单位,明,"120.757579,37.793492"
2-38,太和宫金殿,第二批,古建筑及历史纪念建筑物,云南省昆明市,文物保护单位,清,"102.771502,25.088280"
2-39,豫园,第二批,古建筑及历史纪念建筑物,上海市,文物保护单位,明至清,"121.492614,31.225136"
2-40,恭王府及花园,第二批,古建筑及历史纪念建筑物,北京市,文物保护单位,清,"116.386319,39.937220"
2-41,网师园,第二批,古建筑及历史纪念建筑物,江苏省苏州市姑苏区,文物保护单位,清,"120.633654,31.298021"
2-42,程阳永济桥,第二批,古建筑及历史纪念建筑物,广西壮族自治区三江县,文物保护单位,民国,"109.642248,25.897005"
2-43,拉卜楞寺,第二批,古建筑及历史纪念建筑物,甘肃省夏河县,文物保护单位,清,"102.508386,35.193302"
2-44,常德铁幢,第二批,石刻及其他,湖南省常德市,文物保护单位,宋,"111.698497,29.031673"
2-45,地藏寺经幢,第二批,石刻及其他,云南省昆明市,文物保护单位,大理（公元937－－1094年）,"103.056873,25.347805"
2-46,元谋猿人遗址,第二批,古遗址,云南省元谋县,文物保护单位,旧石器时代,"101.914589,25.675945"
2-47,蓝田猿人遗址,第二批,古遗址,陕西省蓝田县,文物保护单位,旧石器时代,"109.494983,34.182894"
2-48,大汶口遗址,第二批,古遗址,山东省泰安县,文物保护单位,新石器时代,"117.020359,36.668530"
2-49,河姆渡遗址,第二批,古遗址,浙江江省余姚县,文物保护单位,新石器时代,"121.349485,29.962446"
